Source,Confirmed images,Valid,lowest labelset level,comments
Tonga_2022-08 & Samoa_2022-09 & Samoa_2019-12 & Samoa_2017-12,6958,yes,species,most labels are genus level
TUMCA Ecological Survey,915,yes ,growthform,
USSGuardianWreck,990,yes,growthform + Acropora,
Valentina Rocha,600,yes,species,
Vamizi,1522,yes,genus,
Vavau,3880,yes ,genus,
WAPA Coral Inventory 2.0,3037,yes,species,
WAPA Interns,1034,yes,species,classified by interns trained by War in the Pacific National Historical Park GUAM
WAPA RFI,3734,yes,species,
WAPA RFM,4649,yes,species + health,also many genus level classes
West_Hawaii_eDNA_2022,1204,yes ,species,
Windward,3242,yes,genus,another hughrunyan let's ask him about data duplication
WSU West Hawaii,3942,yes,species,
ZONE 3 new,505,yes,growthform,
